"サービス","EC2 その他($)","Support (Enterprise)($)","ElastiCache($)","CloudWatch($)","Tax($)","Elastic Container Service($)","Managed Workflows for Apache Airflow($)","S3($)","DynamoDB($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","CloudSearch($)","EC2 Container Registry (ECR)($)","CloudTrail($)","Lambda($)","GuardDuty($)","WAF($)","EC2 インスタンス($)","Kinesis($)","Secrets Manager($)","Redshift($)","Config($)","Athena($)","Global Accelerator($)","Elastic MapReduce($)","Key Management Service($)","SQS($)","Kinesis Firehose($)","API Gateway($)","OpenSearch Service($)","Route 53($)","SNS($)","Cost Explorer($)","CloudWatch Events($)","Elastic File System($)","SES($)","CloudFront($)","Backup($)","Location Service($)","Step Functions($)","CloudShell($)","Glue($)","Systems Manager($)","Savings Plans for  Compute usage($)","Cognito($)","CloudFormation($)","X-Ray($)","Certificate Manager($)","Refund($)","合計コスト($)"
"サービス の合計","20342.8197829071","13519.52","12212.8404499191","11494.9238494601","11394.17","10453.9749873711","6995.4521693218","6593.1474894404","3892.9088507989","3484.8704331525","3302.2970776542","3164.8785700584","2252.7197706853","2099.8741422618","1905.4292535","1887.533729578","1813.1048600123","1291.4837782112","1238.3111818879","1035.2687083155","858.3322563593","661.5246126032","639.132","603.59449","534.4365469224","366.52188015","350.134127424","237.6168720266","225.3817086597","197.1673874499","124.0928323733","74.682386","46.7757950049","45.3563027849","14.1039945","13.1438159483","0.0511335436","0.0117374155","0.0052660471","0.003815","0.0000038823","0.0000026337","0","0","0","0","0","0","0","-31.4","125336.1980512643"
"2025-07-01","86.1537059064","2028.09","6.2160077976","64.2666513829","1666.15","44.9649311442","35.8226254246","38.092909179","26.9751911887","19.3456291969","17.0771742609","17.3691677456","32.6512524777","12.0883341819","14.9748165","7.4872149966","14.5046511603","7.7130024319","7.0113120445","5.630075104","4.9879041632","3.611938522","3.462","15.533005","2.8768094679","2.39722926","2.027043768","1.1187463317","1.3892275437","1.3962367987","1.4408368779","4.7899972","0.083636376","0.2512454839","0.0004465","0.0322920213","0.0005029753","0.0000037316","0.0000279197","0.00001","","","0","0","0","","","","","","4197.9837920646"
"2025-07-02","95.0891163979","","6.2160077976","73.30585481","","46.1681665248","34.9839946784","36.2204390065","12.9393858817","20.1940911462","15.4149913673","17.3178631872","12.0135444079","10.3839010027","14.6463675","8.01495868","13.6782802453","7.4200803606","7.8444986581","5.6293215935","5.0681941632","3.298025814","4.215","15.615105","2.8891276855","2.13666426","1.860252768","1.6056901246","1.3085705575","1.5467571964","1.4409709755","0.274458","0.210361301","0.2539912903","0.0003935","0.0322920768","0.0005029738","0.0000061816","0.0000281984","","","","0","0","0","","","","","","479.2372553123"
"2025-07-03","107.5418653808","","6.2160077976","71.3477442042","","47.7943992341","35.140025213","37.5893044542","12.9392686899","20.0838186836","16.1282398582","17.1883607634","11.6843537102","8.6343742291","14.7172245","14.213680227","14.8884510318","7.351642212","7.6976872658","5.629035321","5.1524291632","3.336403522","3.633","15.72233","2.7935097692","2.18732655","2.416266768","1.6405855313","1.292009869","1.5805963095","1.4407427105","0.28425","0.2562142146","0.2468929032","0.0008275","0.0322925629","0.0006035694","0.0000255459","0.0000283882","0.00001","","","0","","0","","","","","","498.8018276528"
"2025-07-04","107.404942096","","6.2160077976","67.5133944412","","41.9097387367","35.8114347945","35.1861872871","12.9493393441","20.0619492747","15.5313731578","17.2981628093","11.3887692226","10.3652492859","13.840709","14.4769674349","14.6815336845","7.243727412","7.8786157029","5.628375916","4.5628091632","3.463224668","3.27","15.165215","2.7059284082","2.15875854","2.571666768","1.3446362744","1.2267416389","0.7943675847","1.4399463758","0.2572376","0.2020933403","0.2484190323","0.0011175","0.0322926912","0.0003017859","0.000027358","0.0000284979","0.0000595","","","0","","0","","","","","","484.8313491246"
"2025-07-05","95.0592095707","","6.2160077976","41.9216711993","","16.1915354576","28.0517768822","31.9652866012","12.9366368388","17.6677400541","11.1453765549","15.5474923199","10.7288333004","0.5198809848","11.471578","6.0132774068","10.1786345457","5.307347412","5.8287348859","5.6218614805","3.4370241632","0.005910084","1.407","15.891855","2.3327697388","1.45520148","1.187955768","0.7214678366","0.6154578789","0.1037636216","1.4399493873","0.1806032","0.0245349775","0.2466629032","0.000025","0.0322927416","","0.0000336774","0.0000284743","0.00005","","","0","","0","","","","","","361.4554672248"
"2025-07-06","96.035915621","","6.2160077976","43.4476748411","","17.4182971575","28.840919322","32.099857103","12.9385869573","17.7771461778","11.1469438472","15.718457618","10.6768790535","0.5198809848","11.8199975","6.5493915","10.5027410735","5.477257812","5.8401343161","5.6222536835","3.6684091632","0.005910084","1.617","15.948485","2.3503308712","1.45736691","1.236753768","0.8299329134","0.6986212924","0.4026613735","1.4399802116","0.1772396","0.1031319269","0.2465906452","0.000075","0.0322927416","0.0001005946","0.0000076193","0.0000284838","0.00002","","","0","","0","","","","","","368.8632805646"
"2025-07-07","109.2516284875","","6.2160077976","71.4797920533","","53.58380897","35.4256017975","36.3072509287","12.9621195329","20.3075426661","15.3430118651","17.3113666707","11.8851595528","14.9434784739","14.708389","16.44935824","14.1447781368","7.521447016","8.0995356585","5.6299252275","4.9392991632","3.2729055","4.113","16.04245","2.7571513054","2.20525302","1.935561768","1.5524946246","1.3346902087","1.1267248853","1.4401500034","0.26838","0.2919929089","0.2461980645","0.0005205","0.0322927416","0.0002011899","0.0000361078","0.0000284828","0.0000795","","","0","0","0","","","","","","513.129612049"
"2025-07-08","111.8575164212","","6.2160077976","72.8158578316","","46.2524355512","35.6927467371","35.7815608085","12.9590691129","20.4248266874","16.3116424732","17.4088921765","12.2764787433","15.4499785543","15.0833255","18.6529529034","14.5055526714","7.739457612","8.0986708368","5.631020029","5.1173706441","2.905002062","3.681","16.15431","2.8506319238","2.21045754","2.084307768","1.7568839352","1.4133128363","1.4995557059","1.4402286715","0.2806012","0.3832299085","0.2459406452","0.0006085","0.0322929176","0.0006035708","0.0000547701","0.0000284241","0.0000495","","","0","0","0","","","","","","515.2144629705"
"2025-07-09","110.6195300384","","6.2680074727","75.9830381311","","46.8271231282","37.214433943","35.3823905672","12.972426915","20.3246845426","17.7065781014","17.8038839555","12.0448620849","8.7157262597","14.6988285","16.186351227","14.4531362883","7.609701362","8.297117597","5.629543452","5.1548673888","4.099946646","3.732","16.26846","2.8333587892","2.21210166","2.140644768","1.6339451357","1.3875483508","1.4440367061","1.4403277307","0.2618948","0.3717730965","0.2459522581","0.000517","0.0322930056","0.0003017851","0.0000090193","0.0000285478","0.00005","","","0","0","0","","","","","","511.9974202537"
"2025-07-10","111.5366940891","","6.2160077976","72.4321793314","","53.9232062738","36.7316149031","35.5307343183","12.9742467993","20.6048612019","17.0102666493","18.0494404295","12.0013886182","13.6922532605","14.824146","17.3510607482","14.475374216","7.691980646","7.4739717272","5.6299389875","5.1086073888","3.4550255","3.708","16.377145","2.8240152392","2.02451313","2.006037768","1.6371157334","1.3921210666","1.3259800528","1.440067402","0.2628984","0.3435461249","0.2478583871","0.0005195","0.0322932498","0.0007041648","0.0001042508","0.0000285282","0.00002","","","0","","0","","","","","","520.3359668833"
