"サービス","OpenSearch Service($)","Savings Plans for  Compute usage($)","Support (Enterprise)($)","Relational Database Service($)","Tax($)","S3($)","Elastic Container Service($)","CloudFront($)","Redshift($)","CloudWatch($)","ElastiCache($)","CloudFront Security Bundle($)","VPC($)","Elastic Load Balancing($)","GuardDuty($)","CloudTrail($)","EC2 その他($)","Kinesis Firehose($)","WAF($)","EC2 Container Registry (ECR)($)","Global Accelerator($)","EC2 インスタンス($)","Athena($)","Lambda($)","Key Management Service($)","Config($)","Route 53($)","SQS($)","Managed Grafana($)","Cost Explorer($)","Secrets Manager($)","CloudWatch Events($)","CodePipeline($)","SES($)","Elastic File System($)","CodeBuild($)","Systems Manager($)","SNS($)","API Gateway($)","Location Service($)","CloudShell($)","Step Functions($)","Glue($)","DynamoDB($)","Elastic Container Registry Public($)","QuickSight($)","Certificate Manager($)","X-Ray($)","CloudFormation($)","Refund($)","合計コスト($)"
"サービス の合計","31642.2982805379","22793.52","14840.15","13977.8610643319","13510.38","10653.4803648135","6336.8873396752","5873.0887001196","5392.5677339893","4333.8832352643","3926.6162518526","2850","2244.0628594062","2143.3434088642","1941.2152422186","1544.209805","1488.932089589","1160.739750735","591.8413118616","457.8691037088","391.1740677024","387.138340637","336.49426","307.4801816505","188.923304952","160.119","71.133144","58.5743500309","54","16.556176183","2.8371736586","2.325443","0.762","0.4264713048","0.0226399287","0.01","0.009378","0.0006548677","0.0005775227","0.00024","2.55e-8","4.2e-9","0","0","0","0","0","0","0","-1066.67","148614.2639454357"
"2025-07-01","1235.267892914","","2550.21","1403.9518678905","2095.11","59.1560515767","63.1723175611","5.6221992684","750.401768468","43.8467946624","13.7280027054","","11.8619266002","11.5876257844","36.3486652377","31.996919","9.2888710255","7.2795638476","5.544883428","2.1753492656","1.8010571165","5.1143689555","5.53678","0.0000551926","0.974966064","5.202","2.4014216","0.0705776","9","0.1180474194","0.0129032256","0.016088","0","0.0149248488","0.0000040197","0","","0","0.00000774","","","","0","0","0","0","","","","","8366.8139010176"
"2025-07-02","97.6928535334","","","32.4154128371","","58.8323954198","62.3039317029","65.1111846785","6.2041639247","49.0393146185","13.7280027309","","11.86858306","11.4390907287","34.8136914258","30.557288","9.2518513939","7.3989752773","5.784996744","2.1818872797","1.801100276","4.9222991862","5.7811","0.0000182","1.038293064","2.715","0.4144684","0.069052","","0.0991893548","0.0129032256","0.014818","0","0.004808024","0.0000040752","0","","0","0.00000774","","","","0","0","0","0","","","","","515.496684901"
"2025-07-03","97.6889670225","","","33.9650312704","","58.480735533","63.9112523827","61.1797528985","5.7431064756","47.73582365","13.7280027621","","11.8596948117","11.4144913394","34.0908588876","29.758118","9.3354765673","7.4321761325","5.616395028","2.1887524854","1.8015613047","4.892639037","5.533655","0.0000042","1.019990064","0.999","0.41546","0.2707571","","0.1192929032","0.0129032256","0.01286","","0.000701168","0.0000040752","","","0","0.00000258","","","","0","0","0","0","","","","","509.2074659044"
"2025-07-04","97.6918068882","","","32.6476686033","","59.2933626069","63.5050459271","59.517642118","5.2821163384","47.9174142236","13.7280027582","","11.8896048675","11.3958225039","34.3949299965","30.089956","8.8404686294","7.1468086618","5.491967628","2.1943551307","1.8012330514","4.9296338588","5.463595","0.0110194405","1.013897064","1.911","0.4045504","0.3094447","","0.0893167742","0.0129032256","0.013845","0","0.0020033401","0.0000040752","0","","0.000000696","0.0000055378","","","","0","0","0","0","","","","","506.9894250451"
"2025-07-05","97.6339768687","","","27.4694746009","","58.8445227402","47.940135057","44.6947231968","4.3599741918","44.5559465924","13.7280027423","","11.8592097629","10.5967213724","32.7490677832","28.874369","5.5802700604","3.0254728893","3.485376228","2.1958264248","1.8015588018","4.4476521364","5.47279","0.0094378887","0.991418064","0.072","0.265772","0.2279412","","0.0893496774","0.0129032256","0.011462","","","0.0000040752","","","0.0000007246","","","","","0","0","0","0","","","","","450.9953593048"
"2025-07-06","97.6305211198","","","26.8357800869","","58.9784595565","50.5134806","38.6147855682","5.0186609792","44.6349446479","13.7280027132","","11.8533470225","10.6095418925","32.6764494096","28.697059","5.5425712324","3.0052692029","3.425890428","2.1958264248","1.8009400608","4.4602910272","5.48037","0.0098700495","0.996935064","0.081","0.2585816","0.229725","","0.0892767742","0.0129032256","0.011526","","","0.0000040752","","","0","","","","","0","0","0","0","","","","","447.3920127609"
"2025-07-07","97.6979505917","","","36.1485451361","","60.1346023649","62.5936480102","73.1058099496","5.4138812888","48.9687371833","13.7280026628","","11.8588808586","11.4525589439","34.5983495191","30.323501","8.9335912551","7.2161713608","5.523256428","2.1980284006","1.8014358799","4.9537143304","5.49313","0.0116472317","1.017380064","2.238","0.3167644","0.2969251","","0.089223871","0.0129032256","0.013802","","0.0012020039","0.0000040752","","","0.000000581","0.0000125214","","","","0","0","0","0","","","","","526.1416602376"
"2025-07-08","97.6946821379","","","32.5409987272","","60.697679194","62.1343102734","58.9455925254","6.0066966935","48.8494998661","13.7280026049","","11.8584910093","11.386488697","34.3584805352","30.138194","9.0491862435","7.3064650724","5.391837228","2.2018493169","1.8013443064","4.9466820299","5.557365","0.3251846665","1.017272064","1.617","0.3043968","0.3219821","","0.0890419355","0.0129032256","0.013426","0","0.0009015022","0.0000040752","0","","0.0000005207","0.0000068544","","","","0","0","0","0","","","","","508.2959652051"
"2025-07-09","97.683859153","","","34.2692679473","","60.7863463643","64.1644603197","59.2734555713","5.7432465804","50.4812068845","13.728002613","","11.8593469594","11.3555116267","34.6653555349","30.366692","9.07106633","7.4077669147","5.509427628","2.2048268384","1.8015008552","4.9299221591","5.55637","1.0189995969","1.009151064","1.023","0.3540468","0.3442639","","0.0889158065","0.0129282256","0.012779","0.018","0.0010016695","0.0000040752","0","","0.0000001753","","","","","0","0","0","0","","","","","514.7407225929"
